videoId,top_positive,top_negative,top_neutral
x0usaMZFkBo,I never bought anything on Shein...thank God lol.,"I do say they do have a little of ghetto clothing! but I'm a plus size girl, and so far Shein has clothes as a big girl I'd wear , that doesn't look like your an old lady",Had never even heard of Shein ...
x0usaMZFkBo,Wth is shein? Never heard of it lol,"I have never ordered clothing from SHEIN, just other stuff. And I check the reviews on items. It's worked out for me so far.",Thank you b for the PSA. I have not purchased anything of or from Shein and now I know to avoid them like a  on a sidewalk.
x0usaMZFkBo,I own a pair the fish flops but not from shein. Best. fishing. shoes. EVER.,I am glad I don’t buy from SHEIN. And I see so many of their clothes in local thrift and consignment stores. It’s just depressing to know how many people get ripped off and how terrible it is for the planet.,I bought a dress on shein simply because a review had pictures of someone's pet duck trying to eat the dress.
x0usaMZFkBo,Is SHEIN giving WISH a run for it's money? lol,"I have bought on Shein a few times and everything comes as described.  Sewn well and exactly the same as  the photograph on their page.
I don't know how other people have problems.  I would still buy from them...even after watching this....because I can't fault them.",Yea fact that’s Shein is run by a money hungry dude from a country that doesn’t give a lot of freedom to its people.
x0usaMZFkBo,I'm proud to say I've never heard of Shein until this video,"DON’T SHOP AT SHEIN



Tbh idc if it’s because of them being unsatisfied with their product but newspapers in my country did some research on Shein and their stuff gets made by slaves it’s from China so y’all are probably like ‘Well yeah obviously’ but I mean by Catholic idk if that’s the right belief but I think it was that not 100% but it’s because they believe in a certain god they don’t even have to believe in it if you are born in that community you are a slave 

Much like slaves in Europe before they discovered other continents to take control over and ruin
Now this is terrible and they pretty much live in slave camps so just don’t buy stuff from SHEIN and try avoiding stuff from China (it’s hard ik)






Fun useless fact Shein gets pronounced as She-in














Also for anyone wondering Shein was in the spotlight because people thought they were going to open a shop in the country but it was a showroom (they most likely made people unsure it was a showroom or a shop to get attention but if this backfired )",Watching this 15 mins after placing a SHEIN order and I’m now like 
x0usaMZFkBo,"More SHEIN reactions, please!! ","I've bought many times from Shein, and never been dissapointed. For me the trick to buy clothes online is to look very carefully at the measurements, and look at the comments with photos in them if possible, so you know how it looks in someone your size.  I mean,  you have to be realistic, and know you won't look like the model if your body type it's nothing like hers. Anyway, I didn't know they were this awful as a company, and I don't think I'll ever buy from them again, but unless other companies lower prices and offer more sizes, I doubt Shein is really gonna be damaged in any way...",Never heard of Shein.
x0usaMZFkBo,"Gather around Americans! It's correct pronunciation is ""shine"" (like shinning? You know? Great movie btw..!) Anyways ""shine""=Shein.
You're welcome :))","Most things I've bought so far from shein has been spot on and I've had them for over a year, multiple washes etc. The only thing I hate is the 20cm+ difference between waist and hips on jeans and shorts. Everyone's a hourglass shape apparently","I've never bought and probably never will buy anything from shein but I saw these ""shorts"" and they looked like scruffed jean underwear "
x0usaMZFkBo,I have ordered many things for SHEIN and have been very happy with 98% of it.,"never had a problem with shein. yes u do get some that not what u really wanted, or expect but they not as bad u think. and when u bring up the dumping etc not just shein ya know everyone does it. bit offended for that. not all sizes are accurate u have to check them properly before buying",Am I the only girl who has never heard of Shein? And for that I am thankful.
x0usaMZFkBo,I haven't ever had a problem with Shein.  Because I read the REVIEWS!!!!   I love Shein <3,Gotta check the reviews. I don’t buy anything from shein without seeing at least 10 different pictures from real reviews. Don’t regret buying anything from them except 1 shirt but that was my fault for buying it a size smaller,I agree with the majority of this. Shein definitely sends crap a lot of the times. But I do think that when people order things they’re not thinking with their body type in mind. It looks great on the model. But not everybody is shaped like a model. So it’s going to look a lot different. Just sayin.
V_Ju832wWI8,i literally downloaded shein 5 mins ago and have been browsing when this just uploaded. PERFECT,"I've bought a lot from Shein; some of it is hit, some miss. But I find myself not getting stuff from there as often b/c it falls apart after you wash them a couple times. Other brands might be more expensive, but the clothes hold up for longer, so in the long run they pay off. But every once in a while I hit on something of good quality (esp. swimsuits, although they're usually 1-2 sizes too small), so it's not a complete loss to shop there.",Shein is ban in india
V_Ju832wWI8,Thank you for also bringing awareness to the prayer mats that SheIn was selling as decorative pieces. <3,"In Asia that symbol is referring to Buddhism. I think that, because Shein is based in China, they are using the symbol as the symbol of Buddhism. When 8 first moved to South Korea I was confused as well until someone told me. Also, if you search Chinese, Korean Buddhism symbol, that is what would pop up.  just thought I would let you all know in case you didn’t. But I could see how it can easily be reserved negative if someone is wearing a necklace with that symbol.",you should do a boxy charm or Ipsy box review!
V_Ju832wWI8,"Mia, I love your videos- but please please please stop with the shein. Their factories use child labor and unsafe practices!!!!","Just a heads up. Only the Big mess-ups of Shein are reaching the Big Media, but they are under fire of small business owners too. They stole their designs, are selling them and refuse to take the designs down even when those independent, small businesses reach out to take it down.

Recently Wilde Mode and the owner of shop.FOC spoke out on Instagram about how Shein stole their design and isn't responding well to the messages they've sent them about it. And there are way more small brands affected by this, but these 2 I can name of the top of my head.","Please don't buy from shein,they are unethical."
V_Ju832wWI8,"i love you but please do not buy from SHEIN!!!! They do not pay their workers well, they have children making their clothes, you cannot support them and allow people to continue to mistreat its employees","People in the comments need to look at the Fashion Ethics Guide. Shein is horrible- for fast fashion and for a company in general. Yes fast fashion is everywhere, but y'all saying to 'do your research' yet are making ridiculous claims about how much clothes should/nt cost. Do your own research.","don't shop at shein anymore, they had a swastica neclace for sale, and you can reply to this if you want me to explain what that is"
V_Ju832wWI8,You’ll get great items from shein if you check the product’s material before purchase !!,"When I was studying Buddhist symbols for a story I was writing, I found out that the difference between the Buddhist version of the swatzika and the Nazi version is the orientation of the arms. I saw a picture of the Shein necklace and it is indeed supposed to represent the Buddhist version. However, the issue is not everyone is going to know these particular facts, so the decision to use this particular symbol was a poor choice on their part.",NEED A MAKEUP TUTORIAL ON THIS LOOK PLS
V_Ju832wWI8,i wear shein all the time and it is perfect,Not to hate because I love your content but.. isn’t shein a really problematic brand? Also why are we still supporting BLATANT fast fashion?,Creating outfits with the cheapest clothes on SHEIN?
V_Ju832wWI8,U introduced me to shein and it's awesome,"Mia seriously STOP doing these hauls. Especially from places like SHEIN and WISH. These companies are detrimental to the environment, underpay and overwork their workers, (primarily women of color by the way) and are just overall extremely unethical. Buying a shit ton of clothing from them every month only encourages them to keep doing what they're doing, and frankly it's not worth it. The clothes are poorly made anyway so seriously what is the appeal?? We all need to hold companies like this to a higher standard and actually start paying for clothes what they're actually worth when you include ethical labor and quality materials.",Do a SHEIN swimsuit haul!!
V_Ju832wWI8,i love shein!  i posted a shein haul too! i would appreciate it if anyone who reads goes check it out!,"Please stop supporting fast fashion places like shein :( they only encourage the massive waste the fashion industry has pushed, and they're cheap by exploiting labor laws in other countries vs US.",The thing is shein app is ban in my cntry(india) nd i m watching this video only for mia
V_Ju832wWI8,"252 weeks = sometime in 2015 Lolol!

Laughing But love watchin your clothing reviews!","glad you started off with some things that are wrong with shein that you weren't aware off before you did the haul/rest of the video! 
i do hope you won't be doing any more shein videos tho, they're a terrible brand especially to their workers!!
",SHEIN USES SLAVE LABOR. PLEASE LOOK I TO THE ETHICS OF THIS COMPANY MIA!!!! DO NOT SUPPORT THEM
V_Ju832wWI8,Great review! I appreciate the try ons and your room decor is inspiring!,"Please please please look into the other major problems with shein as a brand. They are problematic in so many ways and even though this isn’t a sponsored post, making a video about this company is still basically free publicity for this awful brand",You should do a SHEIN swimsuit haul
